Position,Team,Wins
1st,Olympiacos,26
2nd,Fenerbahce,24
3rd,Panathinaikos,22
4th,Monaco,21
5th,Bayern,20
6th,Crvena zvezda,20
7th,Olimpia Milano,19
8th,Barcelona,19
9th,Paris,19
10th,Anadolu Efes,18
11th,Real Madrid,17
12th,Zalgiris Kaunas,17
13th,Partizan,16
14th,Baskonia,14
15th,Lyon-Villeurbanne,11
16th,Maccabi Tel Aviv,10
17th,Virtus Bologna,8
18th,Alba Berlin,5
