Home,Away,HomeScore,AwayScore,Round,Date
Real Madrid,Baskonia,90,89,23,23.01. 21:45
Virtus Bologna,Monaco,80,86,23,23.01. 21:30
Panathinaikos,Zalgiris Kaunas,89,76,23,23.01. 21:15
Maccabi Tel Aviv,Crvena zvezda,85,73,23,23.01. 21:05
Anadolu Efes,Olimpia Milano,110,66,23,23.01. 19:30
Partizan,Paris,92,86,23,22.01. 21:30
Barcelona,Anadolu Efes,90,80,22,17.01. 21:45
Baskonia,Panathinaikos,91,77,22,17.01. 21:30
Bayern,Virtus Bologna,72,82,22,17.01. 21:30
Crvena zvezda,Monaco,88,82,22,17.01. 21:00 AOT
Fenerbahce,Zalgiris Kaunas,98,86,22,17.01. 19:45
Real Madrid,Olympiacos,86,96,22,16.01. 21:45
Olimpia Milano,Partizan,70,90,22,16.01. 21:30
Paris,Maccabi Tel Aviv,96,83,22,16.01. 21:30
Lyon-Villeurbanne,Alba Berlin,96,89,22,16.01. 21:00 AOT
Barcelona,Panathinaikos,82,73,21,15.01. 21:30
Bayern,Monaco,95,94,21,15.01. 21:30
Crvena zvezda,Fenerbahce,91,96,21,15.01. 21:00
Zalgiris Kaunas,Virtus Bologna,77,68,21,15.01. 20:00
Real Madrid,Maccabi Tel Aviv,116,113,21,14.01. 21:45
Baskonia,Olympiacos,101,102,21,14.01. 21:30 AOT
Olimpia Milano,Alba Berlin,100,68,21,14.01. 21:30
Paris,Anadolu Efes,88,84,21,14.01. 21:30
Lyon-Villeurbanne,Partizan,62,93,21,14.01. 21:00
Virtus Bologna,Baskonia,76,74,20,10.01. 21:45
Olympiacos,Bayern,112,69,20,10.01. 21:15
Crvena zvezda,Paris,85,69,20,10.01. 21:00
Zalgiris Kaunas,Real Madrid,64,83,20,10.01. 20:00
Anadolu Efes,Lyon-Villeurbanne,76,82,20,10.01. 19:30
Panathinaikos,Partizan,96,84,20,09.01. 21:15
Maccabi Tel Aviv,Olimpia Milano,74,107,20,09.01. 21:05
Monaco,Barcelona,84,98,20,09.01. 20:00
Fenerbahce,Alba Berlin,90,73,20,09.01. 19:45
Real Madrid,Bayern,88,76,19,03.01. 22:00
