,TEAM_A,TEAM_B,A_SCORE,B_SCORE,AQ1,BQ1,AQ2,BQ2,AQ3,BQ3,AQ4,BQ4,A_OT,B_OT
15.10. 20:30,Alba Berlin,Lyon-Villeurbanne,84,79,20,13,16,23,28,18,20,25,,
Round 2,,,,,,,,,,,,,,
11.10. 21:30,Barcelona,Alba Berlin,88,73,19,16,24,21,20,17,25,19,,
11.10. 21:30,Olimpia Milano,Paris,79,74,20,18,15,21,23,18,21,17,,
11.10. 21:15,Olympiacos,Zalgiris Kaunas,74,68,21,6,14,18,17,19,22,25,,
10.10. 21:45,Real Madrid,Partizan,93,86,24,24,26,23,18,17,25,22,,
10.10. 21:15,Panathinaikos,Bayern,94,79,25,16,22,18,19,24,28,21,,
10.10. 21:00,Lyon-Villeurbanne,Virtus Bologna,87,85,38,27,19,22,16,21,14,15,,
10.10. 20:30,Anadolu Efes,Fenerbahce,78,83,21,27,16,19,14,14,27,23,,
09.10. 21:00,Crvena zvezda,Baskonia,78,71,25,20,17,14,17,15,19,22,,
09.10. 20:00,Monaco,Maccabi Tel Aviv,85,79,21,23,20,23,24,14,20,19,,
Round 1,,,,,,,,,,,,,,
04.10. 22:00,Paris,Crvena zvezda,77,80,18,17,25,18,15,23,19,22,,
04.10. 22:00,Virtus Bologna,Anadolu Efes,67,76,21,15,15,21,16,15,15,25,,
04.10. 20:30,Fenerbahce,Olympiacos,82,71,17,13,15,23,25,20,25,15,,
03.10. 22:00,Maccabi Tel Aviv,Lyon-Villeurbanne,89,82,24,31,27,21,20,19,18,11,,
03.10. 21:45,Bayern,Real Madrid,97,89,26,29,26,22,12,22,33,16,,
03.10. 21:30,Baskonia,Partizan,88,82,16,17,16,21,27,22,29,22,,
03.10. 20:00,Monaco,Olimpia Milano,93,80,22,10,25,16,19,23,27,31,,
03.10. 20:00,Zalgiris Kaunas,Barcelona,74,67,21,14,22,17,7,17,24,19,,
03.10. 19:45,Alba Berlin,Panathinaikos,77,87,17,26,19,19,21,17,20,25,,
