,TEAM_A,TEAM_B,A_SCORE,B_SCORE,AQ1,BQ1,AQ2,BQ2,AQ3,BQ3,AQ4,BQ4,A_OT,B_OT
27.02. 21:00,Crvena zvezda,Zalgiris Kaunas,80,86,22,23,21,21,17,23,20,19,,
Round 26,,,,,,,,,,,,,,
07.02. 21:30,Barcelona,Olympiacos,88,90,18,22,29,23,18,21,23,24,,
07.02. 21:30,Baskonia,Maccabi Tel Aviv,89,82,22,23,29,19,22,17,16,23,,
07.02. 21:30,Virtus Bologna,Paris,77,83,25,17,21,18,18,23,13,25,,
07.02. 20:00,Monaco,Partizan,69,86,18,21,22,27,15,14,14,24,,
06.02. 21:30,Bayern,Lyon-Villeurbanne,76,67,23,18,15,12,20,17,18,20,,
06.02. 21:15,Panathinaikos,Anadolu Efes,104,89,17,21,32,26,26,26,29,16,,
06.02. 20:00,Alba Berlin,Crvena zvezda,71,77,13,15,22,25,20,19,16,18,,
06.02. 20:00,Zalgiris Kaunas,Olimpia Milano,87,89,16,24,26,26,24,17,21,22,,
06.02. 19:30,Fenerbahce,Real Madrid,78,67,16,16,24,12,18,19,20,20,,
Round 25,,,,,,,,,,,,,,
05.02. 21:30,Barcelona,Maccabi Tel Aviv,100,71,28,26,14,10,32,24,26,11,,
05.02. 21:30,Paris,Olympiacos,73,90,15,30,16,18,27,19,15,23,,
05.02. 21:30,Virtus Bologna,Partizan,71,81,23,17,13,27,21,22,14,15,,
05.02. 20:00,Monaco,Baskonia,92,85,23,18,28,17,16,28,25,22,,
04.02. 21:45,Bayern,Olimpia Milano,87,70,17,16,20,20,31,19,19,15,,
04.02. 21:15,Panathinaikos,Fenerbahce,91,90,24,24,17,16,20,24,30,26,,
04.02. 21:00,Crvena zvezda,Lyon-Villeurbanne,73,66,19,18,17,13,20,17,17,18,,
04.02. 20:00,Zalgiris Kaunas,Alba Berlin,73,53,25,12,12,10,18,15,18,16,,
04.02. 19:30,Anadolu Efes,Real Madrid,79,73,25,17,13,21,18,23,23,12,,
Round 24,,,,,,,,,,,,,,
31.01. 21:30,Partizan,Crvena zvezda,71,73,18,21,19,21,16,13,18,18,,
31.01. 21:15,Olympiacos,Anadolu Efes,92,89,29,14,18,26,27,21,18,28,,
31.01. 20:00,Monaco,Real Madrid,77,73,20,13,16,26,23,17,18,17,,
31.01. 19:30,Fenerbahce,Virtus Bologna,95,81,22,13,24,24,23,17,26,27,,
30.01. 21:30,Baskonia,Barcelona,88,86,23,25,21,21,21,18,23,22,,
30.01. 21:30,Olimpia Milano,Panathinaikos,87,75,17,16,22,21,27,13,21,25,,
30.01. 21:30,Paris,Lyon-Villeurbanne,91,82,20,15,34,25,15,24,22,18,,
30.01. 21:05,Maccabi Tel Aviv,Alba Berlin,87,93,22,19,26,27,15,24,24,23,,
30.01. 20:00,Zalgiris Kaunas,Bayern,82,97,18,22,13,23,28,26,23,26,,
Round 23,,,,,,,,,,,,,,
24.01. 21:15,Olympiacos,Fenerbahce,77,87,21,17,19,26,19,26,18,18,,
24.01. 21:00,Alba Berlin,Bayern,84,99,27,27,23,25,18,18,16,29,,
24.01. 21:00,Lyon-Villeurbanne,Barcelona,100,94,23,21,25,21,28,27,24,25,,
23.01. 21:45,Real Madrid,Baskonia,90,89,22,21,20,24,22,22,26,22,,
23.01. 21:30,Virtus Bologna,Monaco,80,86,26,18,23,23,13,15,18,30,,
23.01. 21:15,Panathinaikos,Zalgiris Kaunas,89,76,17,25,17,26,26,19,29,6,,
23.01. 21:05,Maccabi Tel Aviv,Crvena zvezda,85,73,21,20,23,12,23,27,18,14,,
23.01. 19:30,Anadolu Efes,Olimpia Milano,110,66,24,9,32,22,31,17,23,18,,
22.01. 21:30,Partizan,Paris,92,86,26,34,28,15,20,20,18,17,,
Round 22,,,,,,,,,,,,,,
17.01. 21:45,Barcelona,Anadolu Efes,90,80,22,24,26,17,17,18,25,21,,
17.01. 21:30,Baskonia,Panathinaikos,91,77,22,13,26,25,22,19,21,20,,
17.01. 21:30,Bayern,Virtus Bologna,72,82,18,20,14,15,20,22,20,25,,
17.01. 21:00 AOT,Crvena zvezda,Monaco,88,82,13,21,23,13,23,26,17,16,12,6
17.01. 19:45,Fenerbahce,Zalgiris Kaunas,98,86,17,20,17,27,28,21,36,18,,
16.01. 21:45,Real Madrid,Olympiacos,86,96,19,22,19,25,16,26,32,23,,
16.01. 21:30,Olimpia Milano,Partizan,70,90,17,17,23,20,18,27,12,26,,
16.01. 21:30,Paris,Maccabi Tel Aviv,96,83,26,11,23,22,23,23,24,27,,
16.01. 21:00 AOT,Lyon-Villeurbanne,Alba Berlin,96,89,23,19,27,21,20,22,15,23,11,4
Round 21,,,,,,,,,,,,,,
15.01. 21:30,Barcelona,Panathinaikos,82,73,18,21,12,17,29,12,23,23,,
15.01. 21:30,Bayern,Monaco,95,94,30,13,23,27,25,28,17,26,,
15.01. 21:00,Crvena zvezda,Fenerbahce,91,96,24,21,19,28,18,21,30,26,,
15.01. 20:00,Zalgiris Kaunas,Virtus Bologna,77,68,25,13,16,19,20,19,16,17,,
14.01. 21:45,Real Madrid,Maccabi Tel Aviv,116,113,33,30,24,33,34,27,25,23,,
14.01. 21:30 AOT,Baskonia,Olympiacos,101,102,17,16,25,24,27,27,20,22,12,13
14.01. 21:30,Olimpia Milano,Alba Berlin,100,68,23,19,24,24,31,10,22,15,,
14.01. 21:30,Paris,Anadolu Efes,88,84,19,13,18,26,22,20,29,25,,
14.01. 21:00,Lyon-Villeurbanne,Partizan,62,93,20,31,14,14,9,29,19,19,,
Round 20,,,,,,,,,,,,,,
10.01. 21:45,Virtus Bologna,Baskonia,76,74,14,20,23,18,22,16,17,20,,
10.01. 21:15,Olympiacos,Bayern,112,69,28,14,23,23,27,20,34,12,,
10.01. 21:00,Crvena zvezda,Paris,85,69,15,25,24,14,18,13,28,17,,
10.01. 20:00,Zalgiris Kaunas,Real Madrid,64,83,26,15,8,20,12,20,18,28,,
10.01. 19:30,Anadolu Efes,Lyon-Villeurbanne,76,82,20,24,21,14,25,23,10,21,,
09.01. 21:15,Panathinaikos,Partizan,96,84,23,13,26,25,26,25,21,21,,
09.01. 21:05,Maccabi Tel Aviv,Olimpia Milano,74,107,14,20,23,25,17,33,20,29,,
09.01. 20:00,Monaco,Barcelona,84,98,17,25,24,20,19,21,24,32,,
09.01. 19:45,Fenerbahce,Alba Berlin,90,73,16,11,21,23,24,26,29,13,,
Round 19,,,,,,,,,,,,,,
03.01. 22:00,Real Madrid,Bayern,88,76,23,16,24,14,15,20,26,26,,
03.01. 21:30,Partizan,Maccabi Tel Aviv,98,75,27,12,21,20,22,15,28,28,,
03.01. 21:15,Panathinaikos,Virtus Bologna,111,90,30,23,24,19,25,24,32,24,,
03.01. 21:15,Paris,Barcelona,79,90,19,25,17,15,19,25,24,25,,
03.01. 19:45,Fenerbahce,Anadolu Efes,84,76,24,24,19,16,21,16,20,20,,
02.01. 21:30,Baskonia,Crvena zvezda,73,75,16,16,12,26,24,18,21,15,,
02.01. 21:00,Alba Berlin,Monaco,90,105,21,30,14,25,32,24,23,26,,
02.01. 21:00,Lyon-Villeurbanne,Olimpia Milano,66,75,19,19,13,17,19,15,15,24,,
02.01. 20:00,Zalgiris Kaunas,Olympiacos,85,92,22,18,30,22,19,27,14,25,,
Round 18,,,,,,,,,,,,,,
27.12. 21:30,Barcelona,Crvena zvezda,74,78,15,19,20,15,24,22,15,22,,
27.12. 21:30,Baskonia,Paris,94,81,28,26,13,31,23,15,30,9,,
27.12. 21:30,Bayern,Panathinaikos,69,80,16,13,20,19,17,23,16,25,,
27.12. 21:30,Partizan,Fenerbahce,90,81,25,21,22,17,18,19,25,24,,
27.12. 21:30,Virtus Bologna,Lyon-Villeurbanne,83,69,17,7,29,22,20,16,17,24,,
26.12. 21:30,Olimpia Milano,Olympiacos,83,84,19,19,21,22,20,23,23,20,,
26.12. 21:05,Maccabi Tel Aviv,Zalgiris Kaunas,95,78,26,19,24,19,21,18,24,22,,
26.12. 20:00,Alba Berlin,Real Madrid,69,80,15,28,19,17,17,16,18,19,,
26.12. 20:00,Monaco,Anadolu Efes,94,75,22,13,27,21,20,20,25,21,,
Round 17,,,,,,,,,,,,,,
20.12. 22:00,Olimpia Milano,Bayern,78,79,14,26,25,14,20,25,19,14,,
20.12. 21:30,Crvena zvezda,Maccabi Tel Aviv,81,73,21,15,27,18,12,21,21,19,,
20.12. 21:15,Olympiacos,Alba Berlin,90,85,26,19,18,22,25,21,21,23,,
20.12. 21:00,Virtus Bologna,Barcelona,86,81,23,15,12,19,30,31,21,16,,
20.12. 20:00,Zalgiris Kaunas,Lyon-Villeurbanne,72,78,16,21,20,22,17,13,19,22,,
20.12. 19:30,Anadolu Efes,Partizan,86,77,20,27,13,11,25,23,28,16,,
19.12. 21:45,Real Madrid,Monaco,94,72,29,22,24,13,24,12,17,25,,
19.12. 19:45,Panathinaikos,Baskonia,104,69,33,12,20,23,23,20,28,14,,
03.03. 21:30,Paris,Fenerbahce,83,87,26,16,19,21,15,26,23,24,,
Round 16,,,,,,,,,,,,,,
18.12. 21:15,Olympiacos,Virtus Bologna,87,77,29,17,14,29,21,10,23,21,,
18.12. 19:30,Anadolu Efes,Crvena zvezda,89,67,14,25,22,17,23,15,30,10,,
17.12. 21:45,Alba Berlin,Zalgiris Kaunas,66,86,10,24,20,21,16,24,20,17,,
17.12. 21:45,Partizan,Lyon-Villeurbanne,79,82,21,24,24,15,20,27,14,16,,
17.12. 21:30,Barcelona,Fenerbahce,90,63,20,12,24,25,21,16,25,10,,
17.12. 21:30,Paris,Real Madrid,85,96,17,26,31,26,19,18,18,26,,
17.12. 21:15,Panathinaikos,Olimpia Milano,103,74,38,15,24,25,17,20,24,14,,
17.12. 21:05,Maccabi Tel Aviv,Baskonia,85,95,23,34,20,23,17,18,25,20,,
17.12. 20:00,Monaco,Bayern,93,74,18,24,28,16,31,20,16,14,,
Round 15,,,,,,,,,,,,,,
13.12. 22:00,Lyon-Villeurbanne,Paris,98,93,22,24,27,16,23,31,26,22,,
13.12. 21:30,Barcelona,Olimpia Milano,81,94,24,16,19,24,17,36,21,18,,
13.12. 21:30,Crvena zvezda,Olympiacos,87,73,19,17,20,21,28,15,20,20,,
13.12. 19:30,Anadolu Efes,Panathinaikos,93,67,20,15,25,19,23,12,25,21,,
12.12. 21:45,Bayern,Maccabi Tel Aviv,98,93,22,30,21,20,24,22,31,21,,
12.12. 21:45,Real Madrid,Zalgiris Kaunas,83,92,19,24,19,30,22,18,23,20,,
12.12. 21:30,Baskonia,Virtus Bologna,81,82,21,21,17,17,19,18,24,26,,
12.12. 20:00,Alba Berlin,Partizan,90,91,28,30,18,21,18,23,26,17,,
12.12. 19:45,Fenerbahce,Monaco,69,99,19,17,19,26,16,29,15,27,,
Round 14,,,,,,,,,,,,,,
06.12. 21:45,Olimpia Milano,Lyon-Villeurbanne,92,84,18,20,23,16,22,25,29,23,,
06.12. 21:30,Virtus Bologna,Crvena zvezda,87,94,19,18,19,26,25,13,24,37,,
06.12. 21:15,Olympiacos,Paris,90,96,21,21,23,28,16,24,30,23,,
06.12. 20:00,Monaco,Alba Berlin,100,80,34,18,21,19,24,25,21,18,,
05.12. 21:45,Real Madrid,Fenerbahce,70,82,20,12,11,25,16,23,23,22,,
05.12. 21:30,Bayern,Baskonia,94,80,23,23,21,21,25,17,25,19,,
05.12. 21:30,Partizan,Panathinaikos,91,73,20,20,24,17,20,12,27,24,,
05.12. 21:05,Maccabi Tel Aviv,Barcelona,86,88,16,22,28,15,22,27,20,24,,
05.12. 20:00,Zalgiris Kaunas,Anadolu Efes,85,72,27,17,21,13,15,23,22,19,,
Round 13,,,,,,,,,,,,,,
04.12. 21:45 AOT,Virtus Bologna,Alba Berlin,88,90,18,26,20,22,23,20,17,10,10,12
04.12. 21:30,Olimpia Milano,Crvena zvezda,101,86,23,15,30,27,26,23,22,21,,
04.12. 20:00,Monaco,Olympiacos,80,89,19,22,26,25,17,18,18,24,,
03.12. 21:30,Baskonia,Fenerbahce,88,76,26,12,19,13,18,22,25,29,,
03.12. 21:30,Partizan,Zalgiris Kaunas,84,78,22,19,22,22,20,23,20,14,,
03.12. 21:15,Panathinaikos,Barcelona,90,89,25,19,20,26,18,24,27,20,,
03.12. 21:05,Maccabi Tel Aviv,Paris,81,93,18,22,18,28,22,18,23,25,,
03.12. 21:00,Lyon-Villeurbanne,Real Madrid,80,78,30,26,21,17,8,23,21,12,,
03.12. 19:30,Anadolu Efes,Bayern,101,90,27,22,29,26,18,25,27,17,,
Round 12,,,,,,,,,,,,,,
29.11. 22:00,Lyon-Villeurbanne,Anadolu Efes,97,82,22,25,25,30,23,12,27,15,,
29.11. 21:15,Panathinaikos,Monaco,88,91,26,28,22,22,19,15,21,26,,
29.11. 21:00,Crvena zvezda,Bayern,101,77,25,19,25,23,29,10,22,25,,
29.11. 19:45,Fenerbahce,Olimpia Milano,85,91,19,24,18,17,26,25,22,25,,
28.11. 21:45 AOT,Barcelona,Real Madrid,90,97,17,22,21,12,14,20,22,20,16,23
28.11. 21:30,Paris,Virtus Bologna,81,78,21,24,23,14,25,23,12,17,,
28.11. 21:30,Partizan,Olympiacos,78,70,16,25,22,11,12,21,28,13,,
28.11. 21:00,Alba Berlin,Maccabi Tel Aviv,85,103,16,32,20,20,20,25,29,26,,
28.11. 20:00,Zalgiris Kaunas,Baskonia,70,83,17,19,25,16,15,17,13,31,,
Round 11,,,,,,,,,,,,,,
22.11. 21:30,Bayern,Barcelona,100,78,28,21,20,17,29,20,23,20,,
22.11. 20:00,Zalgiris Kaunas,Panathinaikos,84,77,28,18,21,24,16,21,19,14,,
21.11. 21:45,Real Madrid,Alba Berlin,98,84,23,22,32,33,24,13,19,16,,
21.11. 21:30,Olimpia Milano,Maccabi Tel Aviv,98,86,20,22,30,21,29,27,19,16,,
21.11. 21:15,Olympiacos,Baskonia,92,69,30,24,26,14,17,15,19,16,,
21.11. 21:00,Crvena zvezda,Partizan,77,89,21,19,18,26,16,18,22,26,,
21.11. 20:00,Monaco,Lyon-Villeurbanne,103,92,20,25,18,15,37,24,28,28,,
21.11. 19:30,Anadolu Efes,Paris,84,93,20,22,19,21,19,23,26,27,,
20.11. 21:30,Virtus Bologna,Fenerbahce,82,86,22,23,16,14,23,19,21,30,,
Round 10,,,,,,,,,,,,,,
15.11. 21:30,Barcelona,Paris,87,103,18,31,30,14,22,28,17,30,,
15.11. 21:30,Partizan,Olimpia Milano,81,88,22,19,20,19,23,26,16,24,,
15.11. 21:30,Virtus Bologna,Panathinaikos,77,82,18,19,25,27,15,14,19,22,,
15.11. 20:00,Zalgiris Kaunas,Fenerbahce,65,72,21,17,5,26,21,9,18,20,,
14.11. 21:45,Real Madrid,Anadolu Efes,64,74,6,19,19,28,24,11,15,16,,
14.11. 21:30,Baskonia,Monaco,75,87,7,24,17,23,31,14,20,26,,
14.11. 21:30,Bayern,Alba Berlin,115,88,28,27,34,17,34,14,19,30,,
14.11. 21:00,Lyon-Villeurbanne,Crvena zvezda,77,74,24,20,19,12,15,19,19,23,,
14.11. 20:00,Maccabi Tel Aviv,Olympiacos,91,94,24,29,29,13,10,28,28,24,,
Round 9,,,,,,,,,,,,,,
13.11. 21:30,Paris,Zalgiris Kaunas,83,77,17,16,23,20,22,20,21,21,,
13.11. 19:00,Partizan,Barcelona,79,87,23,19,12,30,23,21,21,17,,
12.11. 21:45,Real Madrid,Virtus Bologna,98,86,28,25,25,24,27,18,18,19,,
12.11. 21:30,Baskonia,Anadolu Efes,84,89,21,24,18,22,24,19,21,24,,
12.11. 21:15,Panathinaikos,Maccabi Tel Aviv,93,87,21,25,16,22,23,16,33,24,,
12.11. 21:00 AOT,Alba Berlin,Olimpia Milano,105,101,19,23,24,32,26,22,23,15,13,9
12.11. 21:00,Olympiacos,Lyon-Villeurbanne,94,92,24,29,18,21,29,23,23,19,,
12.11. 20:00,Monaco,Crvena zvezda,90,98,26,26,28,22,20,26,16,24,,
12.11. 19:45,Fenerbahce,Bayern,87,76,13,21,22,9,32,28,20,18,,
Round 8,,,,,,,,,,,,,,
08.11. 21:30,Barcelona,Baskonia,91,68,26,17,18,16,18,18,29,17,,
08.11. 21:30,Virtus Bologna,Maccabi Tel Aviv,84,77,25,17,20,22,15,16,24,22,,
08.11. 21:15,Panathinaikos,Olympiacos,89,94,15,20,18,21,33,30,23,23,,
08.11. 21:00,Lyon-Villeurbanne,Fenerbahce,73,77,19,15,17,18,16,18,21,26,,
08.11. 19:00,Anadolu Efes,Monaco,69,81,23,22,18,14,18,16,10,29,,
07.11. 21:45,Bayern,Zalgiris Kaunas,77,74,19,7,19,21,20,19,19,27,,
07.11. 21:45,Paris,Partizan,74,71,21,16,16,19,19,22,18,14,,
07.11. 21:30,Olimpia Milano,Real Madrid,85,76,24,16,23,24,15,15,23,21,,
07.11. 20:00,Crvena zvezda,Alba Berlin,92,71,23,14,18,18,22,18,29,21,,
Round 7,,,,,,,,,,,,,,
01.11. 21:45,Paris,Baskonia,67,65,18,16,20,19,19,13,10,17,,
01.11. 21:00,Crvena zvezda,Panathinaikos,77,81,18,18,28,20,12,17,19,26,,
01.11. 21:00,Lyon-Villeurbanne,Bayern,71,84,17,19,16,24,16,21,22,20,,
01.11. 20:00,Zalgiris Kaunas,Monaco,63,62,20,11,14,14,9,18,20,19,,
01.11. 19:45,Fenerbahce,Partizan,89,72,22,15,22,16,23,22,22,19,,
31.10. 21:30,Olimpia Milano,Virtus Bologna,99,90,21,14,23,21,22,32,33,23,,
31.10. 21:15,Olympiacos,Barcelona,95,74,21,17,23,19,21,14,30,24,,
31.10. 21:05,Maccabi Tel Aviv,Real Madrid,79,78,21,23,15,20,19,21,24,14,,
31.10. 21:00,Alba Berlin,Anadolu Efes,70,86,19,25,16,26,17,17,18,18,,
Round 6,,,,,,,,,,,,,,
30.10. 21:45,Partizan,Monaco,74,79,21,23,12,23,23,15,18,18,,
30.10. 21:15,Panathinaikos,Lyon-Villeurbanne,92,68,27,14,18,15,25,23,22,16,,
30.10. 20:00,Zalgiris Kaunas,Crvena zvezda,86,84,24,18,23,15,19,24,20,27,,
29.10. 22:00,Virtus Bologna,Bayern,84,87,25,19,8,21,27,28,24,19,,
29.10. 21:30,Baskonia,Olimpia Milano,88,83,20,21,32,24,15,18,21,20,,
29.10. 21:15,Olympiacos,Real Madrid,79,69,17,21,19,13,20,25,23,10,,
29.10. 20:30,Alba Berlin,Paris,83,92,26,16,18,21,19,28,20,27,,
29.10. 20:30,Fenerbahce,Maccabi Tel Aviv,84,82,16,21,22,19,20,27,26,15,,
29.10. 19:30,Anadolu Efes,Barcelona,88,97,26,29,25,26,15,21,22,21,,
Round 5,,,,,,,,,,,,,,
25.10. 21:45,Bayern,Olympiacos,84,80,20,19,12,24,27,18,25,19,,
25.10. 21:30,Barcelona,Lyon-Villeurbanne,90,83,17,20,26,24,26,25,21,14,,
25.10. 20:45,Fenerbahce,Panathinaikos,76,81,15,21,20,25,19,16,22,19,,
24.10. 21:45,Real Madrid,Crvena zvezda,95,72,22,10,24,19,25,25,24,18,,
24.10. 21:30,Baskonia,Alba Berlin,80,57,24,13,15,13,24,14,17,17,,
24.10. 21:30,Olimpia Milano,Anadolu Efes,84,96,11,23,14,23,34,20,25,30,,
24.10. 20:00,Monaco,Paris,80,87,22,25,21,24,21,14,16,24,,
24.10. 20:00,Zalgiris Kaunas,Maccabi Tel Aviv,78,63,26,7,18,17,15,22,19,17,,
23.10. 21:30,Partizan,Virtus Bologna,69,70,20,15,17,17,24,25,8,13,,
Round 4,,,,,,,,,,,,,,
18.10. 21:30,Lyon-Villeurbanne,Baskonia,76,69,20,12,18,14,15,28,23,15,,
18.10. 21:00 AOT,Crvena zvezda,Barcelona,94,98,25,26,22,18,19,19,18,21,10,14
18.10. 20:30,Anadolu Efes,Olympiacos,91,89,11,23,30,21,24,26,26,19,,
18.10. 20:00,Monaco,Virtus Bologna,101,85,20,24,26,23,25,17,30,21,,
17.10. 21:45,Bayern,Paris,109,107,24,21,30,26,27,31,28,29,,
17.10. 21:45,Real Madrid,Panathinaikos,90,86,28,19,15,19,27,20,20,28,,
17.10. 21:30,Olimpia Milano,Zalgiris Kaunas,82,85,24,17,25,14,17,17,16,37,,
17.10. 21:05,Maccabi Tel Aviv,Partizan,79,91,27,28,19,14,18,24,15,25,,
