Round,HomeTeam,AwayTeam,HomePTS,AwayPTS
13,Baskonia,Fenerbahce,88,76
13,Partizan,Zalgiris Kaunas,84,78
13,Panathinaikos,Barcelona,90,89
13,Maccabi Tel Aviv,Paris,81,93
13,Lyon-Villeurbanne,Real Madrid,80,78
13,Anadolu Efes,Bayern,101,90
12,Lyon-Villeurbanne,Anadolu Efes,97,82
12,Panathinaikos,Monaco,88,91
12,Crvena zvezda,Bayern,101,77
12,Fenerbahce,Olimpia Milano,85,91
12,Barcelona,Real Madrid,90,97
12,Paris,Virtus Bologna,81,78
12,Partizan,Olympiakos,78,70
12,Alba Berlin,Maccabi Tel Aviv,85,103
12,Zalgiris Kaunas,Baskonia,70,83
11,Bayern,Barcelona,100,78
11,Zalgiris Kaunas,Panathinaikos,84,77
11,Real Madrid,Alba Berlin,98,84
11,Olimpia Milano,Maccabi Tel Aviv,98,86
11,Olympiakos,Baskonia,92,69
11,Crvena zvezda,Partizan,77,89
11,Monaco,Lyon-Villeurbanne,103,92
11,Anadolu Efes,Paris,84,93
11,Virtus Bologna,Fenerbahce,82,86
10,Barcelona,Paris,87,103
10,Partizan,Olimpia Milano,81,88
10,Virtus Bologna,Panathinaikos,77,82
10,Zalgiris Kaunas,Fenerbahce,65,72
10,Real Madrid,Anadolu Efes,64,74
10,Baskonia,Monaco,75,87
10,Bayern,Alba Berlin,115,88
10,Lyon-Villeurbanne,Crvena zvezda,77,74
10,Maccabi Tel Aviv,Olympiakos,91,94
9,Paris,Zalgiris Kaunas,83,77
9,Partizan,Barcelona,79,87
9,Real Madrid,Virtus Bologna,98,86
9,Baskonia,Anadolu Efes,84,89
9,Panathinaikos,Maccabi Tel Aviv,93,87
9,Alba Berlin,Olimpia Milano,105,101
9,Olympiakos,Lyon-Villeurbanne,94,92
9,Monaco,Crvena zvezda,90,98
9,Fenerbahce,Bayern,87,76
8,Barcelona,Baskonia,91,68
8,Virtus Bologna,Maccabi Tel Aviv,84,77
8,Panathinaikos,Olympiakos,89,94
8,Lyon-Villeurbanne,Fenerbahce,73,77
8,Anadolu Efes,Monaco,69,81
8,Bayern,Zalgiris Kaunas,77,74
8,Paris,Partizan,74,71
8,Olimpia Milano,Real Madrid,85,76
8,Crvena zvezda,Alba Berlin,92,71
7,Paris,Baskonia,67,65
7,Crvena zvezda,Panathinaikos,77,81
7,Lyon-Villeurbanne,Bayern,71,84
7,Zalgiris Kaunas,Monaco,63,62
7,Fenerbahce,Partizan,89,72
7,Olimpia Milano,Virtus Bologna,99,90
7,Olympiakos,Barcelona,95,74
7,Maccabi Tel Aviv,Real Madrid,79,78
7,Alba Berlin,Anadolu Efes,70,86
6,Partizan,Monaco,74,79
6,Panathinaikos,Lyon-Villeurbanne,92,68
6,Zalgiris Kaunas,Crvena zvezda,86,84
6,Virtus Bologna,Bayern,84,87
6,Baskonia,Olimpia Milano,88,83
6,Olympiakos,Real Madrid,79,69
6,Alba Berlin,Paris,83,92
6,Fenerbahce,Maccabi Tel Aviv,84,82
6,Anadolu Efes,Barcelona,88,97
5,Bayern,Olympiakos,84,80
5,Barcelona,Lyon-Villeurbanne,90,83
5,Fenerbahce,Panathinaikos,76,81
5,Real Madrid,Crvena zvezda,95,72
5,Baskonia,Alba Berlin,80,57
5,Olimpia Milano,Anadolu Efes,84,96
5,Monaco,Paris,80,87
5,Zalgiris Kaunas,Maccabi Tel Aviv,78,63
5,Partizan,Virtus Bologna,69,70
4,Lyon-Villeurbanne,Baskonia,76,69
4,Crvena zvezda,Barcelona,94,98
4,Anadolu Efes,Olympiakos,91,89
4,Monaco,Virtus Bologna,101,85
4,Bayern,Paris,109,107
4,Real Madrid,Panathinaikos,90,86
4,Olimpia Milano,Zalgiris Kaunas,82,85
4,Maccabi Tel Aviv,Partizan,79,91
4,Alba Berlin,Fenerbahce,71,78
3,Barcelona,Monaco,86,71
3,Partizan,Bayern,86,78
3,Baskonia,Real Madrid,76,72
3,Paris,Panathinaikos,84,80
3,Virtus Bologna,Zalgiris Kaunas,68,71
3,Olympiakos,Olimpia Milano,89,68
3,Maccabi Tel Aviv,Anadolu Efes,93,91
3,Fenerbahce,Crvena zvezda,57,76
3,Alba Berlin,Lyon-Villeurbanne,84,79
2,Barcelona,Alba Berlin,88,73
2,Olimpia Milano,Paris,79,74
2,Olympiakos,Zalgiris Kaunas,74,68
2,Real Madrid,Partizan,93,86
2,Panathinaikos,Bayern,94,79
2,Lyon-Villeurbanne,Virtus Bologna,87,85
2,Anadolu Efes,Fenerbahce,78,83
2,Crvena zvezda,Baskonia,78,71
2,Monaco,Maccabi Tel Aviv,85,79
1,Paris,Crvena zvezda,77,80
1,Virtus Bologna,Anadolu Efes,67,76
1,Fenerbahce,Olympiakos,82,71
1,Maccabi Tel Aviv,Lyon-Villeurbanne,89,82
1,Bayern,Real Madrid,97,89
1,Baskonia,Partizan,88,82
1,Monaco,Olimpia Milano,93,80
1,Zalgiris Kaunas,Barcelona,74,67
1,Alba Berlin,Panathinaikos,77,87
